business_name,location,state,region,phone,email,address,website,notes
Dela Landscaping Supplies,Delacombe,VIC,Regional VIC,(03) 5336 4442,admin@constructionresourcesvic.com.au,31 Laidlaw Dr Delacombe VIC 3356,https://www.delalandscaping.com.au/,
Epsom Sand & Soil,Epsom (Bendigo),VIC,Regional VIC,(03) 5448 8171,sales@epsomsandandsoil.com.au,452 Epsom-Barnadown Rd Epsom VIC 3551,https://www.epsomsandandsoil.com.au/,Since 1976; delivers Bendigo to Shepparton; equipment hire
Sand4U,Sefton,NSW,Sydney West,1300 787 485,sales@sand4u.com,12 Chisholm Rd Sefton NSW 2162,https://www.sand4u.com.au/,Sydney-wide 6 days from 6:30am; also (02) 9649 9553
Elite Sand & Soil,Jamisontown/Mulgoa,NSW,Sydney West,1300 935 483,sales@elitegroup.sydney,4 Harford St Jamisontown NSW 2750,https://elitegroup.sydney/,Producer + distributor; same-day delivery 6 days
Skippens Landscape & Building Supplies,Matraville,NSW,Sydney East,(02) 9666 1020,,3-5 Perry St Matraville NSW 2036,https://www.skippens.com.au/,85+ years serving Greater Sydney
Narellan Sand & Soil,Smeaton Grange,NSW,Sydney SW,(02) 4646 1313,info@narellansand.com.au,2/1-5 Anzac Ave Smeaton Grange NSW 2567,https://www.narellansand.com.au/,Delivers across Sydney incl Penrith
Macarthur Sand & Soil,Minto,NSW,Sydney SW,(02) 9820 2200,,55 Lincoln St Minto NSW 2566,https://www.macarthursandandsoil.com.au/,
Nepean Landscape Supplies,Penrith,NSW,Sydney West,(02) 4723 9100,,22 Coombes Dr Penrith NSW 2750,https://nepeanlbs.com.au/,Bulk landscaping + civil materials
Sandhub,Strathfield South,NSW,Sydney,(02) 9742 3555,info@sandhub.com.au,8 Dunlop St Strathfield South NSW,https://sandhub.com.au/,Claims biggest raw materials yard in NSW; commercial focus
Four Seasons Nursery,Belrose (3 sites),NSW,Sydney North,(02) 9450 1606,sales@fourseasonsnursery.com.au,200 Forest Way Belrose NSW 2085,https://fourseasonsnursery.com.au/,3 sites: Belrose / Mount Colah / Brookvale; delivery Mon-Sat
Benedict Sand & Gravel,Sydney (multi-site),NSW,Sydney,(02) 9986 3500,sales@benedict.com.au,Quarries: Appin / Sandy Point / Menangle / Mittagong / Cowra,https://www.benedict.com.au/,Next-day delivery Newcastle to Nowra; civil + landscape
Flower Power Garden Centres,Enfield HQ (11 centres),NSW,Sydney,(02) 9747 5555,,27 Mitchell St Enfield NSW 2136,https://www.flowerpower.com.au/,11 garden centres; bulk delivery 7 days metro
Ace Landscapes,Belrose,NSW,Sydney North,(02) 9450 2215,,190 Forest Way Belrose NSW 2085,https://www.acelandscapes.com.au/,30+ years; large delivery fleet; Northern Beaches/North Shore
Turtle Nursery & Landscape Supplies,Rouse Hill & South Windsor,NSW,Sydney NW,(02) 9629 2299,turtle@turtlenursery.com.au,Cnr Windsor & Rouse Rds Rouse Hill NSW 2155,https://www.turtlenursery.com.au/,Two yards; Hills District coverage; phone orders only
Parklea Sand and Soil,South Windsor,NSW,Sydney NW,(02) 4572 7549,,729 George St South Windsor NSW 2756,https://parkleasandsoil.com.au/,Since 1988
Lower Mountains Landscape Supplies,Blaxland,NSW,Blue Mountains,(02) 4739 8899,sales@lmlsgroup.com.au,22 Attunga Rd Blaxland NSW 2774,https://www.lmls.com.au/,7-day delivery Blue Mountains/Penrith; also 1300 798 753
Sydney Landscape Supplies (BC Sands),Sydney,NSW,Sydney,,,Division of BC Sands,https://sydneylandscapesupplies.com.au/,Crane truck fleet; contact via bcsands.com.au
Lee Rowans Gardenworld,Warners Bay & Ourimbah,NSW,Hunter/Central Coast,(02) 4954 6999,,381 Hillsborough Rd Warners Bay NSW 2282,https://www.leerowans.com.au/,Two sites; Ourimbah (02) 4362 2822
Blue Gum Landscaping,Thornton/Maitland/Branxton,NSW,Hunter,(02) 4966 1552,,219 New England Hwy Thornton NSW,https://www.bluegumlandscaping.com.au/,3 sites; delivers Hunter/Port Stephens
Wyee Landscape Supplies,Wyee,NSW,Central Coast/Lake Macquarie,(02) 4357 1335,,104 Wyee Rd Wyee NSW 2259,https://www.wyeelandscapesupplies.com.au/,Open 7 days; same/next-day delivery
Ourimbah Landscape Supplies,Ourimbah,NSW,Central Coast,(02) 4362 2514,,8A James Graham Ln Ourimbah NSW 2258,https://www.ols.com.au/,
Ryans Turf,Coolangatta (Shoalhaven),NSW,Illawarra/Shoalhaven,(02) 4448 7209,,65 Coolangatta Rd Coolangatta NSW 2535,https://www.ryansturf.com.au/,Turf + landscape supplies; same/next-day delivery Illawarra
Albion Park Landscaping Supplies,Albion Park,NSW,Illawarra,(02) 4257 4602,,30 Terry St Albion Park NSW 2527,https://www.albionparklandscapingsupplies.com.au/,Same-day and next-day delivery; also 0427 154 846
Parkes Street Landscape Supplies,Helensburgh,NSW,Illawarra,(02) 9520 6370,info@pslandscapesupplies.com.au,200-206 Parkes St Helensburgh NSW 2508,https://pslandscapesupplies.com.au/,Delivers Illawarra + Sutherland Shire
Waratah Supplies,Gregory Hills,NSW,Sydney SW/Illawarra,(02) 8104 1001,,Gregory Hills business park NSW,https://www.waratahsupplies.com.au/,Same-day delivery in 2-3 hrs; urgent line 1300 92 72 82
Southern Highlands Sand and Soil,Braemar,NSW,Southern Highlands,(02) 4871 1333,info@highlandssandandsoil.com.au,4-6 Gantry Pl Braemar NSW 2575,https://www.highlandssandandsoil.com.au/,Covers Highlands/Wollondilly/Goulburn; open 7 days
Dubbo Soils & Landscaping Supplies,Dubbo,NSW,Regional NSW,(02) 6884 1662,,Lower Darling St Dubbo NSW 2830,https://www.dubbosoils.com/,Daily deliveries across Central NSW; open 7 days
Peards Landscape Supplies,Albury,NSW,Regional NSW,(02) 6023 7800,landscapesupplies@peards.com.au,119 Borella Rd Albury NSW 2640,https://peardslandscapesupplies.com.au/,Albury-Wodonga; open 7 days
Pigot's Mid Western Sand & Soil,Orange,NSW,Regional NSW,(02) 6362 5543,midwesternminimix@gmail.com,34 Leewood Dr Orange NSW 2800,https://www.midwesternsandandsoil.com.au/,Central West NSW delivery; also mini-mix concrete
Loam & Stone Landscape Supplies,Glenfield Park (Wagga),NSW,Regional NSW,(02) 6931 1060,,153 Fernleigh Rd Glenfield Park NSW 2650,https://www.loamandstone.com.au/,Open 7 days
Corkhill Bros,Mitchell/Symonston/Hume,ACT,Canberra,(02) 6239 7200,info@corkhillbros.com.au,Mugga Lane Resource Management Centre Symonston ACT,https://www.corkhillbros.com.au/,Canberra's largest; 3 sites; since 1954
Canberra Sand and Gravel,Holt/Mitchell/Hume,ACT,Canberra,(02) 6260 1365,orders@cansand.com.au,4 Johns Pl Hume ACT 2620,https://www.cansand.com.au/,60+ years; 3 landscape centres
Wholesale Sleeper Co,Queanbeyan,NSW,Canberra region,(02) 6299 5886,,6 John Bull St Queanbeyan NSW 2620,https://wsleeper.com.au/,Own truck fleet of varied sizes; open 7 days
Weilwun Landscape Supplies,Mitchell,ACT,Canberra,0488 015 285,,85 Morisset Rd Mitchell ACT 2911,http://landscapes.weilwun.com.au/,28+ years experience
Paragalli Haulage,Queanbeyan,NSW,Canberra region,(02) 6284 2057,info@paragallihaulage.com.au,14 Barber St Queanbeyan NSW 2620,https://www.paragallihaulage.com.au/,Haulage company + landscape yard; since 1985
Centenary Landscaping Supplies,Boondall & Darra,QLD,Brisbane,(07) 3373 4999,centenary.landscaping@yahoo.com.au,220 Zillmere Rd Boondall QLD,https://centenarylandscaping.com.au/,Since 1986; trade + councils + DIY; two yards
Rock 'N' Soil,Chandler,QLD,Brisbane East,(07) 3245 5677,sales@rocknsoil.com.au,1398 New Cleveland Rd Chandler QLD 4155,https://rocknsoil.com.au/,Fast delivery; trade pricing; formerly Tingalpa Landscape Supplies
RockMate Landscape Supplies,North Maclean,QLD,Brisbane/Logan,1300 136 895,orders@rockmate.com.au,563-569 Teviot Rd North Maclean QLD 4280,https://rockmate.com.au/,Delivery 7 days
Lawnton Landscaping Supplies,Lawnton,QLD,Brisbane North,(07) 3205 1599,admin@lawntonlandscapingsupplies.com,555 Gympie Rd Lawnton QLD,https://lawntonlandscapingsupplies.com/,Bulk + bags; open 7 days
Brisbane Soils & Landscaping Supplies,Brisbane/Redlands,QLD,Brisbane,0408 292 951,sales@brisbanesoils.com.au,Brisbane / Redlands / Bayside,https://brisbanesoils.com.au/,Wholesale pricing; same owner as Gold Coast Soils
Apollo Landscaping,Coopers Plains,QLD,Brisbane South,(07) 3275 1195,,2 Musgrave Rd Coopers Plains QLD 4108,https://www.apollolandscaping.com.au/,Largest paver/sleeper range in Brisbane
Bulka Bag Man,Brisbane,QLD,SEQ,1300 097 696,sales@bulkabagman.com.au,Brisbane / Ipswich / Sunshine Coast,https://www.bulkabagman.com.au/,Bulka bag specialist
Bulk Landscape Supplies Brisbane,Redland Bay,QLD,SEQ,(07) 3829 0459,admin@bulklandscapesuppliesbrisbane.com.au,Redland Bay QLD 4165,https://bulklandscapesuppliesbrisbane.com.au/,Jimel Transport; delivers Brisbane to Gold Coast and Sunshine Coast
Upper Coomera Landscape Supplies,Upper Coomera,QLD,Gold Coast,(07) 5549 3079,,Lot 1 Old Coach Rd Upper Coomera QLD 4209,https://uppercoomeralandscape.com.au/,Northern Gold Coast coverage; open 7 days
PBC Landscape Supplies,Currumbin,QLD,Gold Coast,(07) 5598 1377,,Cnr Currumbin Creek Rd & Villiers Dr Currumbin QLD 4223,https://pbclandscapesupplies.com.au/,Direct-from-quarry; same-day; large trucks
Mudgeeraba Landscape Centre,Mudgeeraba,QLD,Gold Coast,(07) 5530 2359,,520 Gold Coast Springbrook Rd Mudgeeraba QLD 4213,https://mudgeerabalandscape.com.au/,10+ years
Gold Coast Soils & Landscaping Supplies,Gold Coast,QLD,Gold Coast,0408 292 951,luke@goldcoastsoils.com.au,Greater Gold Coast,https://goldcoastsoils.com.au/,Same owner as Brisbane Soils
Gold Coast Gravel Supplies,Mudgeeraba,QLD,Gold Coast,0411 413 121,,Mudgeeraba QLD,https://goldcoastgravelsupplies.com.au/,Recycled concrete products since 2012; also 0415 924 641
Burleigh Garden Supplies,Burleigh Heads,QLD,Gold Coast,(07) 5593 7421,,42 Hutchinson St Burleigh Heads QLD 4220,https://www.burleighgardensupplies.com.au/,
Toowoomba Landscape Supplies,Toowoomba,QLD,Darling Downs,(07) 4639 2239,,4 Gowrie St Toowoomba QLD 4350,https://www.toowoombalandscapes.com.au/,Since 1974; open 7 days
Garden City Landscape Centre,Toowoomba,QLD,Darling Downs,(07) 4633 7933,,518 Boundary St Toowoomba QLD 4350,https://www.gcitylandscape.com.au/,Open 7 days
Bedrock Landscape Centre,Bohle Plains,QLD,North QLD,(07) 4723 1611,,13 Lynam Rd Bohle Plains QLD 4817,https://www.bedrocklandscape.com.au/,Open 7 days
Scott Kennedy's Landscape & Garden Supplies,Shaw (Townsville),QLD,North QLD,(07) 4774 7188,,22-60 Shaw Rd Shaw QLD 4818,https://www.scottkennedylandscape.com.au/,Since 2005; bulk delivery 7 days; covers Ingham to Charters Towers
Townsville Mini Loads,Shaw (Townsville),QLD,North QLD,(07) 4774 8174,office@miniloads.com.au,111 Tompkins Rd Shaw QLD 4818,https://www.miniloads.com.au/,Small-load delivery specialist (PJ's Excavations)
McCahill's Landscaping Supplies,Stuart (Townsville),QLD,North QLD,(07) 4778 1275,admin@mccahills.com.au,35 Vantassel St Stuart QLD 4811,https://mccahillslandscapingsupplies.com/,66+ years; open 7 days
Nature's Earth FNQ,Cairns/Tablelands,QLD,Far North QLD,(07) 4095 0266,,Cairns / Tablelands QLD,https://naturesearthfnq.com.au/,Family-owned; delivers Cairns to Townsville
SA Landscape Supplies,Hackham/Aldinga/Reynella,SA,Adelaide South,(08) 7561 3797,,32 Gates Rd Hackham SA 5163,https://salandscape.com.au/,Three yards; same-day 7 days
Green Hornet Garden & Landscape Supplies,Adelaide,SA,Adelaide,(08) 8262 1240,,Port Adelaide Enfield area SA,https://www.greenhornet.com.au/,Own fleet 1-14 tonne; same-day before midday; open 7 days
Forsters Landscape Supplies,Trinity Gardens,SA,Adelaide East,(08) 8332 5988,pforster2@bigpond.com,178 Portrush Rd Trinity Gardens SA 5068,https://www.forsterslandscapesupplies.com.au/,
Buttrose Landscape & Garden Supplies,Willaston (Gawler),SA,Adelaide North,(08) 8522 6022,sales@buttroselandscape.com.au,18 Kellys Rd Willaston SA 5118,https://buttroselandscapegarden.com.au/,Family-owned; 5-acre yard
Wood'n'Logs,Seaford Meadows,SA,Adelaide South,(08) 8386 2442,,29 Seaford Rd Seaford Meadows SA 5169,https://www.woodnlogs.com.au/,Loam/mulch + firewood + timber
Fleurieu Landscape & Garden Supplies,Victor Harbor,SA,Fleurieu Peninsula,(08) 8552 7366,,30 Maude St Victor Harbor SA 5211,https://fleurieulandscape.com.au/,
Adelaide Hills Garden Supplies,Verdun,SA,Adelaide Hills,(08) 8388 1757,sales@adelaidehillsgardensupplies.com.au,820 Mount Barker Rd Verdun SA 5155,https://www.adelaidehillsgardensupplies.com.au/,Sister yard: Woodside Landscape Supplies (08) 8389 7144
Mulches and More,Baldivis,WA,Perth South,0407 084 734,,Baldivis WA,https://mulchesandmore.com.au/,30+ years; metro-wide fast delivery
Bibra Lake Soils,Bibra Lake,WA,Perth South,(08) 9434 2290,info@bibralakesoils.com.au,222 Barrington St Bibra Lake WA 6163,https://www.bibralakesoils.com.au/,Free 2hr trailer use; open 7 days
Soil Yourself,Wangara,WA,Perth North,(08) 9206 3666,info@soilyourself.com.au,3 Lithic Way Wangara WA 6065,https://soilyourself.com.au/,Family-run; supplier-direct delivery
Maddington Landscape & Garden Supplies,Kenwick,WA,Perth SE,(08) 9459 1167,sales@maddingtonlandscape.com.au,16 Boydell Rd Kenwick WA 6107,https://maddingtonlandscape.com.au/,20+ years; delivery 7 days; free trailer hire
Slab & Garden City,Osborne Park & Bayswater,WA,Perth,(08) 9446 1777,,42 King Edward Rd Osborne Park WA 6017,https://slabandgardencity.com.au/,Since 1985; same/next-day; Bayswater (08) 9279 5100
All Soils,Perth,WA,Perth,,,Perth metro WA,https://www.allsoils.com.au/,25+ years; online ordering; email-based contact only
Little Loads,High Wycombe,WA,Perth East,(08) 9454 5033,info@littleloads.com.au,325 Dundas Rd High Wycombe WA 6057,https://www.littleloads.com.au/,Small-load delivery specialist; family-owned
Richgro Landscape & Commercial,Jandakot,WA,Perth South,(08) 6258 7100,customerservice@richgro.com.au,203 Acourt Rd Jandakot WA 6164,https://commercial.richgro.com.au/,Trade centre (08) 6258 7190; bulk soils/composts/mulches
HALS Horticultural & Landscape Supplies,Brighton,TAS,Hobart,(03) 6263 4688,info@hals.com.au,45 Crooked Billet Dr Brighton TAS 7030,https://www.hals.com.au/,Tasmanian-owned bulk specialist
Leslie Vale Landscape & Gravel Supplies,Leslie Vale & Huonville,TAS,Hobart,(03) 6239 6891,,Cnr Leslie Rd & Huon Hwy Leslie Vale TAS 7054,https://www.llgs.com.au/,Two yards; since 2005
DecorEarth Glenorchy,Glenorchy,TAS,Hobart,(03) 6272 9660,contactus@decorearthglenorchy.com.au,47 Jackson St Glenorchy TAS 7010,https://decorearthglenorchy.com.au/,Open 7 days; sister site DecorEarth Mornington TAS
Tas Mulch,Longford,TAS,Northern TAS,(03) 6391 2382,info@tasmulch.com.au,73 Wellington St Longford TAS,https://tasmulch.com.au/,Bulk distribution anywhere in TAS
ABEL Landscape Supplies,Kings Meadows (Launceston),TAS,Northern TAS,(03) 6344 6677,abellandscape@bigpond.com.au,Connector Park Dr Kings Meadows TAS 7249,https://www.abellandscape.com.au/,Delivery 7 days
Glebe Gardens,Launceston,TAS,Northern TAS,(03) 6334 5335,,166 Henry St Launceston TAS 7250,https://glebegardenslaunceston.com.au/,Multiple businesses on site; landscape supplies + nursery
Rural Garden Supplies,Humpty Doo,NT,Darwin Rural,(08) 8988 5880,,600 Arnhem Hwy Humpty Doo NT 0836,https://www.ruralgardensupplieshumptydoo.com/,Delivers Darwin City to Darwin River; open 7 days
Green Vision NT,Darwin,NT,Darwin,0438 893 287,,Darwin NT,https://www.greenvisionnt.com.au/,Delivers Palmerston/Zuccoli/Durack; landscaping + supplies
Paradise Group (Paradise Nursery),Knuckey Lagoon,NT,Darwin,(08) 8947 2447,info@paradisegroupnt.com.au,100 Thorak Rd Knuckey Lagoon NT 0828,https://www.paradisegroupnt.com.au/,20+ supply bays; delivery 6 days; also 0411 078 308
Finlays Stone,Holtze,NT,Darwin,0413 052 843,sales@finlaysstone.com.au,845 Stuart Hwy Holtze NT 0829,https://finlaysstone.com.au/,Stone + landscape materials
NT Utes Mulch Deliveries,Darwin City,NT,Darwin,,,48 Cavenagh St Darwin City NT 0800,https://ntutes.com.au/,Online booking only; same/next-day mulch delivery 7 days
Bayside Garden Supplies,Braeside,VIC,Melbourne SE,(03) 9587 2001,sales@gardensupply.com.au,282-284 Boundary Rd Braeside VIC 3195,https://gardensupply.com.au/,DO NOT CONTACT - reported closed Jan 2025; site now Boundary Garden Supplies
